date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 21:37:54.128443965, IMAGING, OFF, OFF, OFF
2020-10-26 21:37:54.160443965, READOUT, OFF, OFF, OFF
2020-10-26 21:37:54.999443965, OFF, WORK, OFF, OFF
2020-10-26 21:37:55.44443966, OFF, OFF, OFF, OFF
2020-10-26 21:37:55.965443966, IMAGING, OFF, OFF, OFF
2020-10-26 21:37:55.996443966, READOUT, OFF, OFF, OFF
2020-10-26 21:37:56.835443967, OFF, WORK, OFF, OFF
2020-10-26 21:37:56.880443967, OFF, OFF, OFF, OFF
2020-10-26 21:37:57.802443968, IMAGING, OFF, OFF, OFF
2020-10-26 21:37:57.833443968, READOUT, OFF, OFF, OFF
2020-10-26 21:37:58.672443969, OFF, WORK, OFF, OFF
2020-10-26 21:37:58.717443969, OFF, OFF, OFF, OFF
2020-10-26 21:37:59.677443970, IMAGING, OFF, OFF, OFF
2020-10-26 21:37:59.709443970, READOUT, OFF, OFF, OFF
2020-10-26 21:38:1.475443971, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:1.506443971, READOUT, OFF, OFF, OFF
2020-10-26 21:38:1.579443971, READOUT, WORK, OFF, OFF
2020-10-26 21:38:1.624443971, READOUT, OFF, OFF, OFF
2020-10-26 21:38:2.418443972, OFF, WORK, OFF, OFF
2020-10-26 21:38:2.463443972, OFF, OFF, OFF, OFF
2020-10-26 21:38:3.312443973, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:3.343443973, READOUT, OFF, OFF, OFF
2020-10-26 21:38:4.182443974, OFF, WORK, OFF, OFF
2020-10-26 21:38:4.227443974, OFF, OFF, OFF, OFF
2020-10-26 21:38:5.149443975, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:5.180443975, READOUT, OFF, OFF, OFF
2020-10-26 21:38:6.19443976, OFF, WORK, OFF, OFF
2020-10-26 21:38:6.64443976, OFF, OFF, OFF, OFF
2020-10-26 21:38:6.986443976, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:7.18443977, READOUT, OFF, OFF, OFF
2020-10-26 21:38:7.856443977, OFF, WORK, OFF, OFF
2020-10-26 21:38:7.900443977, OFF, OFF, OFF, OFF
2020-10-26 21:38:8.823443978, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:8.854443978, READOUT, OFF, OFF, OFF
2020-10-26 21:38:9.693443979, OFF, WORK, OFF, OFF
2020-10-26 21:38:9.738443979, OFF, OFF, OFF, OFF
2020-10-26 21:38:10.660443980, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:10.691443980, READOUT, OFF, OFF, OFF
2020-10-26 21:38:11.530443981, OFF, WORK, OFF, OFF
2020-10-26 21:38:11.575443981, OFF, OFF, OFF, OFF
2020-10-26 21:38:12.497443982, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:12.528443982, READOUT, OFF, OFF, OFF
2020-10-26 21:38:13.367443983, OFF, WORK, OFF, OFF
2020-10-26 21:38:13.412443983, OFF, OFF, OFF, OFF
2020-10-26 21:38:14.334443984, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:14.366443984, READOUT, OFF, OFF, OFF
2020-10-26 21:38:15.205443985, OFF, WORK, OFF, OFF
2020-10-26 21:38:15.250443985, OFF, OFF, OFF, OFF
2020-10-26 21:38:16.171443986, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:16.202443986, READOUT, OFF, OFF, OFF
2020-10-26 21:38:17.41443987, OFF, WORK, OFF, OFF
2020-10-26 21:38:17.86443987, OFF, OFF, OFF, OFF
2020-10-26 21:38:18.8443988, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:18.39443988, READOUT, OFF, OFF, OFF
2020-10-26 21:38:18.878443988, OFF, WORK, OFF, OFF
2020-10-26 21:38:18.923443988, OFF, OFF, OFF, OFF
2020-10-26 21:38:19.846443989, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:19.877443989, READOUT, OFF, OFF, OFF
2020-10-26 21:38:20.715443990, OFF, WORK, OFF, OFF
2020-10-26 21:38:20.759443990, OFF, OFF, OFF, OFF
2020-10-26 21:38:21.684443991, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:21.716443991, READOUT, OFF, OFF, OFF
2020-10-26 21:38:22.555443992, OFF, WORK, OFF, OFF
2020-10-26 21:38:22.600443992, OFF, OFF, OFF, OFF
2020-10-26 21:38:23.522443993, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:23.553443993, READOUT, OFF, OFF, OFF
2020-10-26 21:38:24.392443994, OFF, WORK, OFF, OFF
2020-10-26 21:38:24.437443994, OFF, OFF, OFF, OFF
2020-10-26 21:38:25.360443995, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:25.391443995, READOUT, OFF, OFF, OFF
2020-10-26 21:38:26.230443996, OFF, WORK, OFF, OFF
2020-10-26 21:38:26.275443996, OFF, OFF, OFF, OFF
2020-10-26 21:38:27.198443997, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:27.229443997, READOUT, OFF, OFF, OFF
2020-10-26 21:38:28.68443998, OFF, WORK, OFF, OFF
2020-10-26 21:38:28.113443998, OFF, OFF, OFF, OFF
2020-10-26 21:38:29.36443999, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:29.68443999, READOUT, OFF, OFF, OFF
2020-10-26 21:38:29.907443999, OFF, WORK, OFF, OFF
2020-10-26 21:38:29.952443999, OFF, OFF, OFF, OFF
2020-10-26 21:38:30.874444000, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:30.905444000, READOUT, OFF, OFF, OFF
2020-10-26 21:38:31.744444001, OFF, WORK, OFF, OFF
2020-10-26 21:38:31.789444001, OFF, OFF, OFF, OFF
2020-10-26 21:38:32.712444002, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:32.743444002, READOUT, OFF, OFF, OFF
2020-10-26 21:38:33.581444003, OFF, WORK, OFF, OFF
2020-10-26 21:38:33.625444003, OFF, OFF, OFF, OFF
2020-10-26 21:38:34.550444004, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:34.581444004, READOUT, OFF, OFF, OFF
2020-10-26 21:38:35.420444005, OFF, WORK, OFF, OFF
2020-10-26 21:38:35.465444005, OFF, OFF, OFF, OFF
2020-10-26 21:38:36.388444006, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:36.420444006, READOUT, OFF, OFF, OFF
2020-10-26 21:38:37.259444007, OFF, WORK, OFF, OFF
2020-10-26 21:38:37.304444007, OFF, OFF, OFF, OFF
2020-10-26 21:38:38.226444008, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:38.257444008, READOUT, OFF, OFF, OFF
2020-10-26 21:38:39.96444009, OFF, WORK, OFF, OFF
2020-10-26 21:38:39.141444009, OFF, OFF, OFF, OFF
2020-10-26 21:38:40.64444010, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:40.95444010, READOUT, OFF, OFF, OFF
2020-10-26 21:38:40.934444010, OFF, WORK, OFF, OFF
2020-10-26 21:38:40.979444010, OFF, OFF, OFF, OFF
2020-10-26 21:38:41.902444011, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:41.934444011, READOUT, OFF, OFF, OFF
2020-10-26 21:38:42.773444012, OFF, WORK, OFF, OFF
2020-10-26 21:38:42.818444012, OFF, OFF, OFF, OFF
2020-10-26 21:38:43.740444013, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:43.771444013, READOUT, OFF, OFF, OFF
2020-10-26 21:38:44.610444014, OFF, WORK, OFF, OFF
2020-10-26 21:38:44.655444014, OFF, OFF, OFF, OFF
2020-10-26 21:38:45.578444015, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:45.609444015, READOUT, OFF, OFF, OFF
2020-10-26 21:38:46.447444016, OFF, WORK, OFF, OFF
2020-10-26 21:38:46.491444016, OFF, OFF, OFF, OFF
2020-10-26 21:38:47.416444017, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:47.447444017, READOUT, OFF, OFF, OFF
2020-10-26 21:38:48.286444018, OFF, WORK, OFF, OFF
2020-10-26 21:38:48.331444018, OFF, OFF, OFF, OFF
2020-10-26 21:38:49.254444019, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:49.286444019, READOUT, OFF, OFF, OFF
2020-10-26 21:38:50.125444020, OFF, WORK, OFF, OFF
2020-10-26 21:38:50.170444020, OFF, OFF, OFF, OFF
2020-10-26 21:38:51.92444021, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:51.123444021, READOUT, OFF, OFF, OFF
2020-10-26 21:38:51.962444021, OFF, WORK, OFF, OFF
2020-10-26 21:38:52.7444022, OFF, OFF, OFF, OFF
2020-10-26 21:38:52.930444022, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:52.961444022, READOUT, OFF, OFF, OFF
2020-10-26 21:38:53.800444023, OFF, WORK, OFF, OFF
2020-10-26 21:38:53.845444023, OFF, OFF, OFF, OFF
2020-10-26 21:38:54.768444024, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:54.799444024, READOUT, OFF, OFF, OFF
2020-10-26 21:38:55.638444025, OFF, WORK, OFF, OFF
2020-10-26 21:38:55.683444025, OFF, OFF, OFF, OFF
2020-10-26 21:38:56.606444026, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:56.638444026, READOUT, OFF, OFF, OFF
2020-10-26 21:38:57.477444027, OFF, WORK, OFF, OFF
2020-10-26 21:38:57.522444027, OFF, OFF, OFF, OFF
2020-10-26 21:38:58.444444028, IMAGING, OFF, OFF, OFF
2020-10-26 21:38:58.475444028, READOUT, OFF, OFF, OFF
2020-10-26 21:38:59.313444029, OFF, WORK, OFF, OFF
2020-10-26 21:38:59.357444029, OFF, OFF, OFF, OFF
2020-10-26 21:39:1.444030, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:1.31444030, READOUT, OFF, OFF, OFF
2020-10-26 21:39:1.870444030, OFF, WORK, OFF, OFF
2020-10-26 21:39:1.915444030, OFF, OFF, OFF, OFF
2020-10-26 21:39:2.838444031, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:2.869444031, READOUT, OFF, OFF, OFF
2020-10-26 21:39:3.708444032, OFF, WORK, OFF, OFF
2020-10-26 21:39:3.753444032, OFF, OFF, OFF, OFF
2020-10-26 21:39:4.676444033, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:4.708444033, READOUT, OFF, OFF, OFF
2020-10-26 21:39:5.547444034, OFF, WORK, OFF, OFF
2020-10-26 21:39:5.592444034, OFF, OFF, OFF, OFF
2020-10-26 21:39:6.514444035, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:6.545444035, READOUT, OFF, OFF, OFF
2020-10-26 21:39:7.384444036, OFF, WORK, OFF, OFF
2020-10-26 21:39:7.429444036, OFF, OFF, OFF, OFF
2020-10-26 21:39:8.352444037, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:8.383444037, READOUT, OFF, OFF, OFF
2020-10-26 21:39:9.222444038, OFF, WORK, OFF, OFF
2020-10-26 21:39:9.267444038, OFF, OFF, OFF, OFF
2020-10-26 21:39:10.190444039, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:10.221444039, READOUT, OFF, OFF, OFF
2020-10-26 21:39:11.60444040, OFF, WORK, OFF, OFF
2020-10-26 21:39:11.105444040, OFF, OFF, OFF, OFF
2020-10-26 21:39:12.28444041, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:12.60444041, READOUT, OFF, OFF, OFF
2020-10-26 21:39:12.898444041, OFF, WORK, OFF, OFF
2020-10-26 21:39:12.942444041, OFF, OFF, OFF, OFF
2020-10-26 21:39:13.866444042, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:13.897444042, READOUT, OFF, OFF, OFF
2020-10-26 21:39:14.736444043, OFF, WORK, OFF, OFF
2020-10-26 21:39:14.781444043, OFF, OFF, OFF, OFF
2020-10-26 21:39:15.704444044, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:15.735444044, READOUT, OFF, OFF, OFF
2020-10-26 21:39:16.574444045, OFF, WORK, OFF, OFF
2020-10-26 21:39:16.619444045, OFF, OFF, OFF, OFF
2020-10-26 21:39:17.542444046, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:17.573444046, READOUT, OFF, OFF, OFF
2020-10-26 21:39:18.412444047, OFF, WORK, OFF, OFF
2020-10-26 21:39:18.457444047, OFF, OFF, OFF, OFF
2020-10-26 21:39:19.380444048, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:19.412444048, READOUT, OFF, OFF, OFF
2020-10-26 21:39:20.251444049, OFF, WORK, OFF, OFF
2020-10-26 21:39:20.296444049, OFF, OFF, OFF, OFF
2020-10-26 21:39:21.218444050, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:21.249444050, READOUT, OFF, OFF, OFF
2020-10-26 21:39:22.88444051, OFF, WORK, OFF, OFF
2020-10-26 21:39:22.133444051, OFF, OFF, OFF, OFF
2020-10-26 21:39:23.56444052, IMAGING, OFF, OFF, OFF
2020-10-26 21:39:23.87444052, READOUT, OFF, OFF, OFF
