date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 21:53:50.603355809, IMAGING, OFF, OFF, OFF
2020-10-26 21:53:50.635355809, READOUT, OFF, OFF, OFF
2020-10-26 21:53:51.474355810, OFF, WORK, OFF, OFF
2020-10-26 21:53:52.474355811, IMAGING, WORK, OFF, OFF
2020-10-26 21:53:52.475355811, OFF, OFF, OFF, OFF
2020-10-26 21:53:54.345355813, IMAGING, OFF, OFF, OFF
2020-10-26 21:53:54.346355813, OFF, OFF, OFF, OFF
2020-10-26 21:53:56.257355815, IMAGING, OFF, OFF, OFF
2020-10-26 21:53:56.258355815, OFF, OFF, OFF, OFF
2020-10-26 21:53:58.128355817, IMAGING, OFF, OFF, OFF
2020-10-26 21:53:58.129355817, OFF, OFF, OFF, OFF
2020-10-26 21:53:59.999355818, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:1.151355819, READOUT, OFF, OFF, OFF
2020-10-26 21:54:1.725355819, OFF, OFF, OFF, OFF
2020-10-26 21:54:1.828355819, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:1.829355819, OFF, OFF, OFF, OFF
2020-10-26 21:54:3.699355821, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:3.761355821, READOUT, OFF, OFF, OFF
2020-10-26 21:54:4.26355822, READOUT, WORK, OFF, OFF
2020-10-26 21:54:4.367355822, OFF, OFF, OFF, OFF
2020-10-26 21:54:5.570355823, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:5.577355823, OFF, OFF, OFF, OFF
2020-10-26 21:54:7.441355825, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:7.496355825, READOUT, OFF, OFF, OFF
2020-10-26 21:54:7.994355825, READOUT, WORK, OFF, OFF
2020-10-26 21:54:8.409355826, OFF, OFF, OFF, OFF
2020-10-26 21:54:9.312355827, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:9.313355827, OFF, OFF, OFF, OFF
2020-10-26 21:54:11.183355829, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:11.245355829, READOUT, OFF, OFF, OFF
2020-10-26 21:54:11.669355829, READOUT, WORK, OFF, OFF
2020-10-26 21:54:12.70355830, OFF, OFF, OFF, OFF
2020-10-26 21:54:13.54355831, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:13.55355831, OFF, OFF, OFF, OFF
2020-10-26 21:54:14.925355832, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:14.986355832, READOUT, OFF, OFF, OFF
2020-10-26 21:54:15.424355833, READOUT, WORK, OFF, OFF
2020-10-26 21:54:15.832355833, OFF, OFF, OFF, OFF
2020-10-26 21:54:16.796355834, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:16.797355834, OFF, OFF, OFF, OFF
2020-10-26 21:54:18.667355836, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:18.729355836, READOUT, OFF, OFF, OFF
2020-10-26 21:54:19.160355837, READOUT, WORK, OFF, OFF
2020-10-26 21:54:19.568355837, OFF, OFF, OFF, OFF
2020-10-26 21:54:20.538355838, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:20.539355838, OFF, OFF, OFF, OFF
2020-10-26 21:54:22.409355840, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:22.470355840, READOUT, OFF, OFF, OFF
2020-10-26 21:54:22.901355840, READOUT, WORK, OFF, OFF
2020-10-26 21:54:23.310355841, OFF, OFF, OFF, OFF
2020-10-26 21:54:24.280355842, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:24.281355842, OFF, OFF, OFF, OFF
2020-10-26 21:54:26.151355844, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:26.213355844, READOUT, OFF, OFF, OFF
2020-10-26 21:54:26.642355844, READOUT, WORK, OFF, OFF
2020-10-26 21:54:27.51355845, OFF, OFF, OFF, OFF
2020-10-26 21:54:28.22355846, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:28.23355846, OFF, OFF, OFF, OFF
2020-10-26 21:54:29.893355847, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:29.954355847, READOUT, OFF, OFF, OFF
2020-10-26 21:54:30.384355848, READOUT, WORK, OFF, OFF
2020-10-26 21:54:30.794355848, OFF, OFF, OFF, OFF
2020-10-26 21:54:31.765355849, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:31.766355849, OFF, OFF, OFF, OFF
2020-10-26 21:54:33.637355851, IMAGING, OFF, OFF, OFF
2020-10-26 21:54:33.699355851, READOUT, OFF, OFF, OFF
2020-10-26 21:54:34.128355852, READOUT, WORK, OFF, OFF
2020-10-26 21:54:34.538355852, OFF, OFF, OFF, OFF
