date_time, altidute_km, x_km, y_km, z_km
2020-10-26 21:41:53.243671926, 549.9293748840867, -5114.862618414412, 3745.4496695464195, 2785.636334057606
2020-10-26 21:41:55.85671928, 549.9374957238392, -5116.846744869719, 3735.5254771715186, 2795.2622143374124
2020-10-26 21:41:56.927671929, 549.9456774249097, -5118.810060676158, 3725.586132688563, 2804.8766642403857
2020-10-26 21:41:58.808671931, 549.9540948650629, -5120.793460785814, 3715.4207514641425, 2814.6828409131267
2020-10-26 21:42:1.671933, 549.9639833154313, -5123.077390606051, 3703.5548264273125, 2826.095202021872
2020-10-26 21:42:2.842671934, 549.9723585173481, -5124.973827737016, 3693.567100161743, 2835.672683280238
2020-10-26 21:42:4.685671936, 549.9807979672357, -5126.850434804038, 3683.5589585093103, 2845.2437602069353
2020-10-26 21:42:6.528671938, 549.9892968450247, -5128.706169205619, 3673.535860481575, 2854.803191267853
2020-10-26 21:42:8.371671940, 549.9978548604151, -5130.541023639101, 3663.4978470023616, 2864.350937625623
2020-10-26 21:42:10.214671942, 550.0064717223363, -5132.354990887022, 3653.4449590552977, 2873.8869604915185
2020-10-26 21:42:12.57671944, 550.015147138962, -5134.148063817168, 3643.37723768361, 2883.4112211255983
2020-10-26 21:42:13.900671945, 550.0238808177023, -5135.920235381621, 3633.2947239954756, 2892.9236808316828
2020-10-26 21:42:15.743671947, 550.0326724652327, -5137.6714986206225, 3623.1974591419403, 2902.424300978165
2020-10-26 21:42:17.586671949, 550.041521787469, -5139.4018466568305, 3613.0854843495654, 2911.913042967187
2020-10-26 21:42:19.429671951, 550.0504284895878, -5141.1112726991905, 3602.958840898378, 2921.389868255464
2020-10-26 21:42:21.272671953, 550.059392276037, -5142.799770042003, 3592.8175701271803, 2930.854738349254
2020-10-26 21:42:23.115671955, 550.0684128505332, -5144.467332064942, 3582.661713433326, 2940.3076148045575
2020-10-26 21:42:24.958671956, 550.0774899160635, -5146.113952232176, 3572.4913122781754, 2949.7484592220576
2020-10-26 21:42:26.801671958, 550.0866231749133, -5147.7396240959615, 3562.3064081647444, 2959.1772332678584
2020-10-26 21:42:28.644671960, 550.095812328645, -5149.344341291315, 3552.1070426706533, 2968.593898642867
2020-10-26 21:42:30.487671962, 550.1050570781147, -5150.9280975395895, 3541.8932574259575, 2977.9984171033975
2020-10-26 21:42:32.330671964, 550.11435712348, -5152.490886647628, 3531.6650941183766, 2987.390750456297
2020-10-26 21:42:34.174671966, 550.1237172550623, -5154.033533393011, 3521.4170330945803, 2996.7759468218537
2020-10-26 21:42:36.18671968, 550.1331321399762, -5155.555178092471, 3511.154662062186, 3006.14886851531
2020-10-26 21:42:37.862671969, 550.142601475814, -5157.055814798974, 3500.8780229548856, 3015.5094774288414
2020-10-26 21:42:39.706671971, 550.1521249595032, -5158.535437653661, 3490.587157746783, 3024.857735521056
2020-10-26 21:42:41.550671973, 550.1617022872808, -5159.994040880978, 3480.282108485669, 3034.19360478668
2020-10-26 21:42:43.394671975, 550.1713331547151, -5161.431618791959, 3469.9629172705863, 3043.517047277009
2020-10-26 21:42:45.238671977, 550.1810172567214, -5162.848165783432, 3459.629626257212, 3052.828025094988
2020-10-26 21:42:47.82671979, 550.1907542875508, -5164.24367633803, 3449.282277657639, 3062.1265003953913
2020-10-26 21:42:48.926671980, 550.2005439407983, -5165.618145023474, 3438.920913745864, 3071.4124353799207
2020-10-26 21:42:50.770671982, 550.2103859094325, -5166.971566495551, 3428.5455768351467, 3080.6857923174607
