date_time, altidute_km, x_km, y_km, z_km
2020-10-26 22:5:47.925039691, 553.155638201745, -999.2269075774079, -4913.003424647904, 4771.33554579893
2020-10-26 22:5:49.787039693, 553.1424517102253, -988.8156826884657, -4920.640897391935, 4765.646851248224
2020-10-26 22:5:51.649039695, 553.1292433366787, -978.4003357382755, -4928.257986464846, 4759.938332243362
2020-10-26 22:5:53.552039697, 553.1157218370511, -967.7514354010701, -4936.021703887391, 4754.083655871002
2020-10-26 22:5:55.414039699, 553.1024701681354, -957.327885157956, -4943.597479960275, 4748.335123323494
2020-10-26 22:5:57.276039701, 553.0891975587324, -946.900343050685, -4951.152776762499, 4742.566837592235
2020-10-26 22:5:59.138039703, 553.0759043217656, -936.4688521969761, -4958.6875628277785, 4736.778822425825
2020-10-26 22:6:1.39704, 553.0625907708388, -926.0334557372895, -4966.201806769528, 4730.971101657878
2020-10-26 22:6:2.862039705, 553.0492572201865, -915.5941968177738, -4973.695477293145, 4725.1436991975215
2020-10-26 22:6:4.724039707, 553.0359039847287, -905.1511186013099, -4981.168543188035, 4719.296639035531
2020-10-26 22:6:6.586039709, 553.0225313800286, -894.704264278514, -4988.620973319743, 4713.429945250488
2020-10-26 22:6:8.447039711, 553.0091469194456, -884.2592906052388, -4996.048750914308, 4707.546808537868
2020-10-26 22:6:10.308039713, 552.9957437426422, -873.8106311836099, -5003.455852980189, 4701.644107615617
2020-10-26 22:6:12.169039715, 552.9823221666015, -863.3583291776671, -5010.842248689882, 4695.721866764163
2020-10-26 22:6:14.30039717, 552.9688825089263, -852.9024277673011, -5018.207907300375, 4689.780110344965
2020-10-26 22:6:15.891039718, 552.9554250878575, -842.4429701536312, -5025.552798149387, 4683.818862803604
2020-10-26 22:6:17.752039720, 552.9419502222299, -831.979999536428, -5032.876890671213, 4677.838148656898
2020-10-26 22:6:19.613039722, 552.928458231519, -821.5135591476353, -5040.180154373203, 4671.837992512021
2020-10-26 22:6:21.474039724, 552.9149494357885, -811.0436922286855, -5047.46255885168, 4665.818419053585
2020-10-26 22:6:23.335039726, 552.9014241557109, -800.570442035965, -5054.724073788141, 4659.779453046751
2020-10-26 22:6:25.196039728, 552.8878827125523, -790.0938518406542, -5061.964668949345, 4653.721119337143
2020-10-26 22:6:27.57039730, 552.8743254281728, -779.613964928522, -5069.184314187481, 4647.643442850739
2020-10-26 22:6:28.918039731, 552.8607526250166, -769.1308246054159, -5076.382979436394, 4641.546448597066
2020-10-26 22:6:30.778039733, 552.8471719315621, -758.65010982212, -5083.556783493472, 4635.43345339145
2020-10-26 22:6:32.638039735, 552.833576381747, -748.1662316443234, -5090.709570319051, 4629.301211355685
2020-10-26 22:6:34.498039737, 552.8199662991979, -737.6792333446265, -5097.841310156169, 4623.149747695473
2020-10-26 22:6:36.358039739, 552.8063420081221, -727.189158209353, -5104.95197333373, 4616.979087696236
2020-10-26 22:6:38.218039741, 552.7927038332723, -716.6960495383128, -5112.041530266635, 4610.78925672298
2020-10-26 22:6:40.78039743, 552.7790520999415, -706.1999506446554, -5119.1099514559055, 4604.580280220197
2020-10-26 22:6:41.938039744, 552.7653871339971, -695.7009048603701, -5126.1572074850255, 4598.352183715163
2020-10-26 22:6:43.798039746, 552.7517092617945, -685.1989555135002, -5133.183269035174, 4592.104992804394
2020-10-26 22:6:45.658039748, 552.73801881026, -674.6941459618762, -5140.18810686265, 4585.838733173678
2020-10-26 22:6:47.518039750, 552.7243161068404, -664.1865195702773, -5147.171691814193, 4579.55343058453
2020-10-26 22:6:49.378039752, 552.7106014794906, -653.6761197159758, -5154.133994823253, 4573.249110877487
2020-10-26 22:6:51.238039754, 552.6968752566931, -643.1629897885904, -5161.074986910116, 4566.92579997202
2020-10-26 22:6:53.138039756, 552.6828422162421, -632.42099740756, -5168.143214299876, 4560.44692271241
2020-10-26 22:6:54.997039757, 552.6691009530607, -621.9081370076923, -5175.03733533077, 4554.088725791566
2020-10-26 22:6:56.856039759, 552.6553491012005, -611.3926804741905, -5181.910081427675, 4547.711636779319
2020-10-26 22:6:58.715039761, 552.641586990628, -600.874671179978, -5188.761424003791, 4541.315681872504
2020-10-26 22:7:1.39763, 552.6246576502681, -587.9429693447613, -5197.15342452935, 4533.428251652862
2020-10-26 22:7:2.859039764, 552.6108738614389, -577.4194256980367, -5203.956952895139, 4526.990336408128
2020-10-26 22:7:4.718039766, 552.5970808826494, -566.8934694012685, -5210.7389860413205, 4520.53364038152
2020-10-26 22:7:6.577039768, 552.5832790458674, -556.365143874244, -5217.499495751177, 4514.0581900999905
2020-10-26 22:7:8.436039770, 552.5694686835179, -545.8344925418347, -5224.238453899399, 4507.564012164885
2020-10-26 22:7:10.295039772, 552.5556501284823, -535.3015588392597, -5230.955832448666, 4501.051133255175
2020-10-26 22:7:12.154039774, 552.5418237140907, -524.7663862121151, -5237.651603449652, 4494.519580127458
2020-10-26 22:7:14.13039776, 552.5279897741093, -514.2290181161305, -5244.325739041166, 4487.969379615827
2020-10-26 22:7:15.871039777, 552.5141560900993, -503.69516804999455, -5250.974638753189, 4481.404097159827
2020-10-26 22:7:17.729039779, 552.5003155565341, -493.15921169481834, -5257.601870946603, 4474.820241200366
2020-10-26 22:7:19.587039781, 552.4864685079415, -482.62119247111025, -5264.207408066287, 4468.217838763141
2020-10-26 22:7:21.445039783, 552.4726152792618, -472.0811538031032, -5270.791222649138, 4461.596916947221
2020-10-26 22:7:23.303039785, 552.4587562058482, -461.53913912420705, -5277.353287320643, 4454.957502928434
2020-10-26 22:7:25.161039787, 552.444891623456, -450.9951918769382, -5283.893574794914, 4448.299623959344
2020-10-26 22:7:27.19039789, 552.431021868246, -440.4493555126065, -5290.412057874903, 4441.623307369039
