date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 22:9:45.173267651, OFF, OFF, RX, OFF
2020-10-26 22:9:45.220267651, OFF, OFF, OFF, OFF
2020-10-26 22:9:47.25267653, IMAGING, OFF, OFF, OFF
2020-10-26 22:9:47.57267653, READOUT, OFF, OFF, OFF
2020-10-26 22:9:47.896267653, OFF, WORK, OFF, OFF
2020-10-26 22:9:48.877267654, IMAGING, WORK, OFF, OFF
2020-10-26 22:9:48.878267654, OFF, OFF, OFF, OFF
2020-10-26 22:9:50.729267656, IMAGING, OFF, OFF, OFF
2020-10-26 22:9:50.730267656, OFF, OFF, OFF, OFF
2020-10-26 22:9:52.620267658, IMAGING, OFF, OFF, OFF
2020-10-26 22:9:52.621267658, OFF, OFF, OFF, OFF
2020-10-26 22:9:54.471267660, IMAGING, OFF, OFF, OFF
2020-10-26 22:9:54.472267660, OFF, OFF, OFF, OFF
2020-10-26 22:9:56.322267662, IMAGING, OFF, OFF, OFF
2020-10-26 22:9:56.474267662, READOUT, OFF, OFF, OFF
2020-10-26 22:9:57.8267663, OFF, OFF, OFF, OFF
2020-10-26 22:9:58.173267664, IMAGING, OFF, OFF, OFF
2020-10-26 22:9:58.174267664, OFF, OFF, OFF, OFF
2020-10-26 22:10:1.267666, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:1.62267666, READOUT, OFF, OFF, OFF
2020-10-26 22:10:1.367267666, READOUT, WORK, OFF, OFF
2020-10-26 22:10:1.858267666, OFF, OFF, OFF, OFF
2020-10-26 22:10:2.851267667, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:2.852267667, OFF, OFF, OFF, OFF
2020-10-26 22:10:4.702267669, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:4.763267669, READOUT, OFF, OFF, OFF
2020-10-26 22:10:5.111267670, READOUT, WORK, OFF, OFF
2020-10-26 22:10:5.562267670, OFF, OFF, OFF, OFF
2020-10-26 22:10:6.553267671, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:6.554267671, OFF, OFF, OFF, OFF
2020-10-26 22:10:8.404267673, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:8.466267673, READOUT, OFF, OFF, OFF
2020-10-26 22:10:8.854267673, READOUT, WORK, OFF, OFF
2020-10-26 22:10:9.284267674, OFF, OFF, OFF, OFF
2020-10-26 22:10:10.255267675, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:10.256267675, OFF, OFF, OFF, OFF
2020-10-26 22:10:12.106267677, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:12.167267677, READOUT, OFF, OFF, OFF
2020-10-26 22:10:12.576267677, READOUT, WORK, OFF, OFF
2020-10-26 22:10:12.993267677, OFF, OFF, OFF, OFF
2020-10-26 22:10:13.957267678, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:13.958267678, OFF, OFF, OFF, OFF
2020-10-26 22:10:15.807267680, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:15.869267680, READOUT, OFF, OFF, OFF
2020-10-26 22:10:16.291267681, READOUT, WORK, OFF, OFF
2020-10-26 22:10:16.700267681, OFF, OFF, OFF, OFF
2020-10-26 22:10:17.657267682, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:17.658267682, OFF, OFF, OFF, OFF
2020-10-26 22:10:19.507267684, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:19.568267684, READOUT, OFF, OFF, OFF
2020-10-26 22:10:19.998267684, READOUT, WORK, OFF, OFF
2020-10-26 22:10:20.402267685, OFF, OFF, OFF, OFF
2020-10-26 22:10:21.357267686, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:21.358267686, OFF, OFF, OFF, OFF
2020-10-26 22:10:23.207267688, IMAGING, OFF, OFF, OFF
2020-10-26 22:10:23.269267688, READOUT, OFF, OFF, OFF
