date_time, altidute_km, x_km, y_km, z_km
2020-10-26 23:5:34.565459107, 553.0840231246079, -2898.8981781345624, 6138.964759734938, -1392.5894188105178
2020-10-26 23:5:36.414459109, 553.0585810671965, -2907.6298537531197, 6137.274249785658, -1381.7349964034536
2020-10-26 23:5:38.263459111, 553.0332156340692, -2916.349565344858, 6135.558567846028, -1370.8749334783276
2020-10-26 23:5:40.150459113, 553.0074081570428, -2925.2361088967386, 6133.781679896382, -1359.7859091716832
2020-10-26 23:5:41.999459114, 552.9821982954164, -2933.9315374764615, 6132.015158448833, -1348.9145857666585
2020-10-26 23:5:43.848459116, 552.9570657958515, -2942.6148941712063, 6130.22348679641, -1338.037756968158
2020-10-26 23:5:45.697459118, 552.9320108998777, -2951.286143367037, 6128.40667236172, -1327.155467564773
2020-10-26 23:5:47.546459120, 552.9070338476436, -2959.945249505012, 6126.564722670288, -1316.2677623615282
2020-10-26 23:5:49.394459122, 552.8821483229553, -2968.5875038316194, 6124.698661918161, -1305.3805789630749
2020-10-26 23:5:51.242459124, 552.8573410333562, -2977.217557360761, 6122.807508431606, -1294.488075176608
2020-10-26 23:5:53.90459126, 552.8326122144849, -2985.8353747423917, 6120.891270034801, -1283.590295800488
2020-10-26 23:5:54.938459127, 552.8079621006144, -2994.440920672602, 6118.949954656479, -1272.6872856604762
2020-10-26 23:5:56.786459129, 552.7833909245938, -3003.034159912211, 6116.983570325728, -1261.7790895861435
2020-10-26 23:5:58.634459131, 552.7588989179288, -3011.615057259155, 6114.992125178214, -1250.8657524458818
2020-10-26 23:6:1.459133, 552.727657661334, -3022.583134092796, 6112.40590281973, -1236.8859408634273
2020-10-26 23:6:2.848459134, 552.7033470431768, -3031.135756813196, 6110.357342392611, -1225.9610484405187
2020-10-26 23:6:4.696459136, 552.6791163439578, -3039.6759225471988, 6108.283748557548, -1215.0311622550944
2020-10-26 23:6:6.544459138, 552.6549657892114, -3048.2035963127582, 6106.185129892686, -1204.0963272642307
2020-10-26 23:6:8.391459140, 552.6309086062888, -3056.7141388145083, 6104.062650994594, -1193.1625095294303
2020-10-26 23:6:10.238459142, 552.6069319273674, -3065.2121331585777, 6101.915191782719, -1182.2238381847865
2020-10-26 23:6:12.85459144, 552.5830359733947, -3073.697544579739, 6099.742761129315, -1171.280358168569
2020-10-26 23:6:13.932459145, 552.5592209639304, -3082.17033836031, 6097.545368010761, -1160.3321144445724
2020-10-26 23:6:15.779459147, 552.5354871170907, -3090.63047984866, 6095.323021502755, -1149.3791519781828
2020-10-26 23:6:17.626459149, 552.5118346495908, -3099.0779344317452, 6093.075730787405, -1138.421515771821
2020-10-26 23:6:19.473459151, 552.4882637767444, -3107.5126675536394, 6090.803505148481, -1127.4592508410874
2020-10-26 23:6:21.320459153, 552.4647747124268, -3115.9346447111584, 6088.506353972504, -1116.4924022203431
2020-10-26 23:6:23.167459155, 552.4413676690993, -3124.343831453911, 6086.184286748754, -1105.5210149626666
2020-10-26 23:6:25.14459157, 552.4180428577871, -3132.7401933844526, 6083.837313069209, -1094.5451341396392
2020-10-26 23:6:26.861459158, 552.3948004881164, -3141.123696154002, 6081.465442629791, -1083.5648048469825
2020-10-26 23:6:28.707459160, 552.3716532849307, -3149.4897769723525, 6079.069989605728, -1072.5860207017026
2020-10-26 23:6:30.553459162, 552.348588848475, -3157.842944118871, 6076.6496864427045, -1061.602883008197
2020-10-26 23:6:32.399459164, 552.3256073837184, -3166.1831634649116, 6074.204543126767, -1050.6154368367502
2020-10-26 23:6:34.245459166, 552.3027090941946, -3174.5104009353813, 6071.734569746246, -1039.6237272751678
2020-10-26 23:6:36.91459168, 552.279894181992, -3182.824622508981, 6069.239776491667, -1028.627799428448
2020-10-26 23:6:37.937459169, 552.2571628477813, -3191.1257942137154, 6066.7201736571415, -1017.6276984247532
2020-10-26 23:6:39.820459171, 552.2340622158991, -3199.579869101403, 6064.1245198893075, -1006.402866033082
2020-10-26 23:6:41.666459173, 552.2115003189493, -3207.8545761286173, 6061.554832437445, -995.3944727589906
2020-10-26 23:6:43.512459175, 552.1890225971742, -3216.116131036546, 6058.960367108613, -984.3820426948649
2020-10-26 23:6:45.358459177, 552.1666292453925, -3224.3645000756364, 6056.341134605882, -973.3656210297743
2020-10-26 23:6:47.204459179, 552.1443204569872, -3232.599649550922, 6053.697145734289, -962.3452529689365
2020-10-26 23:6:49.49459181, 552.1221084399158, -3240.817095517631, 6051.029863782541, -951.3269567583314
2020-10-26 23:6:50.894459182, 552.0999812764888, -3249.0212690998396, 6048.337874163813, -940.3048087681807
2020-10-26 23:6:52.739459184, 552.0779391553727, -3257.2121368304197, 6045.621187967708, -929.2788541656055
2020-10-26 23:6:54.584459186, 552.0559822638039, -3265.3896652839144, 6042.8798163897445, -918.2491381509996
2020-10-26 23:6:56.429459188, 552.0341107875374, -3273.553821094408, 6040.113770725513, -907.215705934059
2020-10-26 23:6:58.274459190, 552.012324910876, -3281.7045709513227, 6037.3230623720565, -896.1786027393929
2020-10-26 23:7:1.459192, 551.9802931881015, -3293.722752074868, 6033.154657000244, -879.8645851133505
2020-10-26 23:7:2.845459193, 551.9587201694849, -3301.8401454487393, 6030.302896416472, -868.8185819647006
2020-10-26 23:7:4.690459195, 551.9372333798875, -3309.9440174680058, 6027.426513564426, -857.7690652153259
2020-10-26 23:7:6.535459197, 551.9158329970179, -3318.034335066889, 6024.525520296377, -846.7160801606896
2020-10-26 23:7:8.380459199, 551.894519197095, -3326.1110652400534, 6021.599928564255, -835.6596721042043
2020-10-26 23:7:10.224459201, 551.8733036365021, -3334.169808484246, 6018.651356090851, -824.6058817335419
2020-10-26 23:7:12.68459203, 551.852174912539, -3342.2149132748577, 6015.678235985485, -813.5487625956904
2020-10-26 23:7:13.912459204, 551.8311331967119, -3350.2463468243755, 6012.6805804850255, -802.4883599672094
2020-10-26 23:7:15.756459206, 551.8101786590015, -3358.264076415007, 6009.658401922135, -791.4247191195891
2020-10-26 23:7:17.600459208, 551.7893114679287, -3366.2680693723573, 6006.611712735111, -780.3578853554711
2020-10-26 23:7:19.444459210, 551.7685317905293, -3374.2582930831763, 6003.540525461281, -769.2879039842304
2020-10-26 23:7:21.288459212, 551.7478397923378, -3382.234714991068, 6000.444852738582, -758.2148203278585
2020-10-26 23:7:23.132459214, 551.7272356373873, -3390.1973025966513, 5997.324707305494, -747.138679720744
2020-10-26 23:7:24.976459215, 551.7067194882488, -3398.1460234534034, 5994.180102002716, -736.0595275154827
2020-10-26 23:7:26.820459217, 551.6862915059394, -3406.080845184954, 5991.011049766272, -724.9774090587473
2020-10-26 23:7:28.664459219, 551.6659518500278, -3414.00173545944, 5987.817563637685, -713.8923697270416
2020-10-26 23:7:30.508459221, 551.6457006785498, -3421.908662006886, 5984.599656757087, -702.8044549024507
2020-10-26 23:7:32.352459223, 551.6255381480634, -3429.801592614945, 5981.357342364928, -691.7137099786274
2020-10-26 23:7:34.195459225, 551.6054752754873, -3437.676226212836, 5978.092411944255, -680.6261971208124
2020-10-26 23:7:36.38459227, 551.5855012559396, -3445.5368148831576, 5974.803127222309, -669.535947930201
2020-10-26 23:7:37.881459228, 551.5656162412059, -3453.383326635218, 5971.489501719715, -658.4430077657934
2020-10-26 23:7:39.762459230, 551.5454131586184, -3461.377073715633, 5968.082469415773, -647.1186194995864
2020-10-26 23:7:41.605459232, 551.525708445661, -3469.195044021078, 5964.719702139157, -636.0203803352832
2020-10-26 23:7:43.448459234, 551.5060931868077, -3476.99884114693, 5961.3326355213, -624.9195872493157
2020-10-26 23:7:45.291459236, 551.4865675277715, -3484.788433341097, 5957.921283482074, -613.8162856364587
2020-10-26 23:7:47.134459238, 551.467131612742, -3492.563788910079, 5954.485660040945, -602.7105209014151
2020-10-26 23:7:48.977459239, 551.4477855843998, -3500.3248762149756, 5951.025779318773, -591.6023384645869
2020-10-26 23:7:50.820459241, 551.4285295838837, -3508.0716636883194, 5947.541655530301, -580.4917837379146
2020-10-26 23:7:52.663459243, 551.4093637508425, -3515.804119809048, 5944.033302995294, -569.3789021607329
2020-10-26 23:7:54.506459245, 551.390288223392, -3523.5222131194564, 5940.500736131004, -558.2637391755013
2020-10-26 23:7:56.349459247, 551.371303138126, -3531.225912221108, 5936.943969453972, -547.14634023366
2020-10-26 23:7:58.191459249, 551.3524188575665, -3538.911017541516, 5933.364967136686, -536.0327847991592
2020-10-26 23:8:1.459251, 551.3237953388318, -3550.602781152682, 5927.860606800424, -519.0808044371952
2020-10-26 23:8:2.842459252, 551.3051401051579, -3558.2513630286567, 5924.220669372345, -507.9619261015966
2020-10-26 23:8:4.684459254, 551.2865758136434, -3565.8854251962716, 5920.556625208939, -496.84101969240004
2020-10-26 23:8:6.526459256, 551.2681025922477, -3573.5049366331464, 5916.868489351476, -485.7181306391734
2020-10-26 23:8:8.368459258, 551.249720567398, -3581.109866381047, 5913.156276937922, -474.5933043731462
2020-10-26 23:8:10.210459260, 551.2314298639715, -3588.7001835418, 5909.4200032048575, -463.4665863331184
2020-10-26 23:8:12.52459262, 551.2132306053279, -3596.275857277539, 5905.659683487383, -452.3380219651533
2020-10-26 23:8:13.894459263, 551.1951229133003, -3603.836856806627, 5901.875333221147, -441.20765672853685
2020-10-26 23:8:15.736459265, 551.1771069081605, -3611.383151420228, 5898.06696793404, -430.07553607138675
2020-10-26 23:8:17.578459267, 551.1591827086609, -3618.9147104578196, 5894.234603258435, -418.94170546668175
2020-10-26 23:8:19.420459269, 551.1413504320315, -3626.4315033237117, 5890.378254922961, -407.8062103879871
2020-10-26 23:8:21.262459271, 551.1236101939371, -3633.9334994831156, 5886.497938754422, -396.6690963151855
2020-10-26 23:8:23.104459273, 551.1059621085183, -3641.4206684622104, 5882.593670677787, -385.5304087344161
2020-10-26 23:8:24.946459274, 551.0884062883804, -3648.89297984426, 5878.665466718233, -374.3901931438373
2020-10-26 23:8:26.787459276, 551.0709523001815, -3656.3463587835367, 5874.7154950401655, -363.2545441193212
