date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 23:5:34.565459107, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:34.597459107, READOUT, OFF, OFF, OFF
2020-10-26 23:5:35.436459108, OFF, OFF, OFF, OFF
2020-10-26 23:5:36.414459109, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:36.445459109, READOUT, OFF, OFF, OFF
2020-10-26 23:5:37.284459110, OFF, OFF, OFF, OFF
2020-10-26 23:5:38.263459111, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:38.294459111, READOUT, OFF, OFF, OFF
2020-10-26 23:5:39.133459112, OFF, OFF, OFF, OFF
2020-10-26 23:5:40.150459113, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:40.182459113, READOUT, OFF, OFF, OFF
2020-10-26 23:5:41.21459114, OFF, OFF, OFF, OFF
2020-10-26 23:5:41.999459114, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:42.30459115, READOUT, OFF, OFF, OFF
2020-10-26 23:5:42.869459115, OFF, OFF, OFF, OFF
2020-10-26 23:5:43.848459116, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:43.879459116, READOUT, OFF, OFF, OFF
2020-10-26 23:5:44.718459117, OFF, OFF, OFF, OFF
2020-10-26 23:5:45.697459118, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:45.728459118, READOUT, OFF, OFF, OFF
2020-10-26 23:5:46.567459119, OFF, OFF, OFF, OFF
2020-10-26 23:5:47.546459120, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:47.578459120, READOUT, OFF, OFF, OFF
2020-10-26 23:5:48.416459121, OFF, OFF, OFF, OFF
2020-10-26 23:5:49.394459122, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:49.425459122, READOUT, OFF, OFF, OFF
2020-10-26 23:5:50.264459123, OFF, OFF, OFF, OFF
2020-10-26 23:5:51.242459124, IMAGING, OFF, OFF, OFF
2020-10-26 23:5:51.273459124, READOUT, OFF, OFF, OFF
2020-10-26 23:5:52.112459125, OFF, OFF, OFF, OFF
2020-10-26 23:5:53.90459126, IMAGING, OFF, OFF, OFF
