date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 22:5:46.63039690, OFF, OFF, RX, OFF
2020-10-26 22:5:46.110039690, OFF, OFF, OFF, OFF
2020-10-26 22:5:47.925039691, IMAGING, OFF, OFF, OFF
2020-10-26 22:5:47.957039691, READOUT, OFF, OFF, OFF
2020-10-26 22:5:48.796039692, OFF, WORK, OFF, OFF
2020-10-26 22:5:49.787039693, IMAGING, WORK, OFF, OFF
2020-10-26 22:5:49.788039693, OFF, OFF, OFF, OFF
2020-10-26 22:5:51.649039695, IMAGING, OFF, OFF, OFF
2020-10-26 22:5:51.650039695, OFF, OFF, OFF, OFF
2020-10-26 22:5:53.552039697, IMAGING, OFF, OFF, OFF
2020-10-26 22:5:53.553039697, OFF, OFF, OFF, OFF
2020-10-26 22:5:55.414039699, IMAGING, OFF, OFF, OFF
2020-10-26 22:5:55.415039699, OFF, OFF, OFF, OFF
2020-10-26 22:5:57.276039701, IMAGING, OFF, OFF, OFF
2020-10-26 22:5:57.428039701, READOUT, OFF, OFF, OFF
2020-10-26 22:5:57.984039701, OFF, OFF, OFF, OFF
2020-10-26 22:5:59.138039703, IMAGING, OFF, OFF, OFF
2020-10-26 22:5:59.139039703, OFF, OFF, OFF, OFF
2020-10-26 22:6:1.39704, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:1.62039704, READOUT, OFF, OFF, OFF
2020-10-26 22:6:1.345039704, READOUT, WORK, OFF, OFF
2020-10-26 22:6:1.683039704, OFF, OFF, OFF, OFF
2020-10-26 22:6:2.862039705, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:2.863039705, OFF, OFF, OFF, OFF
2020-10-26 22:6:4.724039707, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:4.785039707, READOUT, OFF, OFF, OFF
2020-10-26 22:6:5.286039708, READOUT, WORK, OFF, OFF
2020-10-26 22:6:5.694039708, OFF, OFF, OFF, OFF
2020-10-26 22:6:6.586039709, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:6.587039709, OFF, OFF, OFF, OFF
2020-10-26 22:6:8.447039711, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:8.509039711, READOUT, OFF, OFF, OFF
2020-10-26 22:6:8.940039711, READOUT, WORK, OFF, OFF
2020-10-26 22:6:9.334039712, OFF, OFF, OFF, OFF
2020-10-26 22:6:10.308039713, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:10.309039713, OFF, OFF, OFF, OFF
2020-10-26 22:6:12.169039715, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:12.230039715, READOUT, OFF, OFF, OFF
2020-10-26 22:6:12.675039715, READOUT, WORK, OFF, OFF
2020-10-26 22:6:13.76039716, OFF, OFF, OFF, OFF
2020-10-26 22:6:14.30039717, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:14.31039717, OFF, OFF, OFF, OFF
2020-10-26 22:6:15.891039718, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:15.953039718, READOUT, OFF, OFF, OFF
2020-10-26 22:6:16.391039719, READOUT, WORK, OFF, OFF
2020-10-26 22:6:16.792039719, OFF, OFF, OFF, OFF
2020-10-26 22:6:17.752039720, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:17.753039720, OFF, OFF, OFF, OFF
2020-10-26 22:6:19.613039722, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:19.674039722, READOUT, OFF, OFF, OFF
2020-10-26 22:6:20.112039723, READOUT, WORK, OFF, OFF
2020-10-26 22:6:20.514039723, OFF, OFF, OFF, OFF
2020-10-26 22:6:21.474039724, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:21.475039724, OFF, OFF, OFF, OFF
2020-10-26 22:6:23.335039726, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:23.397039726, READOUT, OFF, OFF, OFF
2020-10-26 22:6:23.833039726, READOUT, WORK, OFF, OFF
2020-10-26 22:6:24.236039727, OFF, OFF, OFF, OFF
2020-10-26 22:6:25.196039728, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:25.197039728, OFF, OFF, OFF, OFF
2020-10-26 22:6:27.57039730, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:27.118039730, READOUT, OFF, OFF, OFF
2020-10-26 22:6:27.554039730, READOUT, WORK, OFF, OFF
2020-10-26 22:6:27.957039730, OFF, OFF, OFF, OFF
2020-10-26 22:6:28.918039731, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:28.919039731, OFF, OFF, OFF, OFF
2020-10-26 22:6:30.778039733, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:30.840039733, READOUT, OFF, OFF, OFF
2020-10-26 22:6:31.276039734, READOUT, WORK, OFF, OFF
2020-10-26 22:6:31.679039734, OFF, OFF, OFF, OFF
2020-10-26 22:6:32.638039735, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:32.639039735, OFF, OFF, OFF, OFF
2020-10-26 22:6:34.498039737, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:34.559039737, READOUT, OFF, OFF, OFF
2020-10-26 22:6:34.995039737, READOUT, WORK, OFF, OFF
2020-10-26 22:6:35.398039738, OFF, OFF, OFF, OFF
2020-10-26 22:6:36.358039739, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:36.359039739, OFF, OFF, OFF, OFF
2020-10-26 22:6:38.218039741, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:38.280039741, READOUT, OFF, OFF, OFF
2020-10-26 22:6:38.716039741, READOUT, WORK, OFF, OFF
2020-10-26 22:6:39.119039742, OFF, OFF, OFF, OFF
2020-10-26 22:6:40.78039743, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:40.79039743, OFF, OFF, OFF, OFF
2020-10-26 22:6:41.938039744, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:41.999039744, READOUT, OFF, OFF, OFF
2020-10-26 22:6:42.435039745, READOUT, WORK, OFF, OFF
2020-10-26 22:6:42.838039745, OFF, OFF, OFF, OFF
2020-10-26 22:6:43.798039746, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:43.799039746, OFF, OFF, OFF, OFF
2020-10-26 22:6:45.658039748, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:45.720039748, READOUT, OFF, OFF, OFF
2020-10-26 22:6:46.156039749, READOUT, WORK, OFF, OFF
2020-10-26 22:6:46.558039749, OFF, OFF, OFF, OFF
2020-10-26 22:6:47.518039750, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:47.519039750, OFF, OFF, OFF, OFF
2020-10-26 22:6:49.378039752, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:49.439039752, READOUT, OFF, OFF, OFF
2020-10-26 22:6:49.875039752, READOUT, WORK, OFF, OFF
2020-10-26 22:6:50.279039753, OFF, OFF, OFF, OFF
2020-10-26 22:6:51.238039754, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:51.239039754, OFF, OFF, OFF, OFF
2020-10-26 22:6:53.138039756, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:53.200039756, READOUT, OFF, OFF, OFF
2020-10-26 22:6:53.635039756, READOUT, WORK, OFF, OFF
2020-10-26 22:6:54.44039757, OFF, OFF, OFF, OFF
2020-10-26 22:6:54.997039757, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:54.998039757, OFF, OFF, OFF, OFF
2020-10-26 22:6:56.856039759, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:56.917039759, READOUT, OFF, OFF, OFF
2020-10-26 22:6:57.347039760, READOUT, WORK, OFF, OFF
2020-10-26 22:6:57.752039760, OFF, OFF, OFF, OFF
2020-10-26 22:6:58.715039761, IMAGING, OFF, OFF, OFF
2020-10-26 22:6:58.716039761, OFF, OFF, OFF, OFF
2020-10-26 22:7:1.39763, IMAGING, OFF, OFF, OFF
2020-10-26 22:7:1.62039763, READOUT, OFF, OFF, OFF
2020-10-26 22:7:1.496039763, READOUT, WORK, OFF, OFF
2020-10-26 22:7:1.788039763, OFF, OFF, OFF, OFF
2020-10-26 22:7:2.859039764, IMAGING, OFF, OFF, OFF
2020-10-26 22:7:2.860039764, OFF, OFF, OFF, OFF
2020-10-26 22:7:4.718039766, IMAGING, OFF, OFF, OFF
2020-10-26 22:7:4.779039766, READOUT, OFF, OFF, OFF
