date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 23:1:35.472231146, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:35.504231146, READOUT, OFF, OFF, OFF
2020-10-26 23:1:36.343231147, OFF, WORK, OFF, OFF
2020-10-26 23:1:37.226231148, OFF, OFF, OFF, OFF
2020-10-26 23:1:37.337231148, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:37.338231148, OFF, OFF, OFF, OFF
2020-10-26 23:1:39.202231150, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:39.203231150, OFF, OFF, OFF, OFF
2020-10-26 23:1:41.106231152, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:41.107231152, OFF, OFF, OFF, OFF
2020-10-26 23:1:42.971231153, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:42.972231153, OFF, OFF, OFF, OFF
2020-10-26 23:1:44.836231155, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:44.988231155, READOUT, OFF, OFF, OFF
2020-10-26 23:1:45.605231156, OFF, OFF, OFF, OFF
2020-10-26 23:1:46.701231157, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:46.702231157, OFF, OFF, OFF, OFF
2020-10-26 23:1:48.566231159, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:48.628231159, READOUT, OFF, OFF, OFF
2020-10-26 23:1:48.850231159, READOUT, WORK, OFF, OFF
2020-10-26 23:1:49.376231160, OFF, OFF, OFF, OFF
2020-10-26 23:1:50.430231161, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:50.431231161, OFF, OFF, OFF, OFF
2020-10-26 23:1:52.294231163, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:52.355231163, READOUT, OFF, OFF, OFF
2020-10-26 23:1:52.668231163, READOUT, WORK, OFF, OFF
2020-10-26 23:1:53.147231164, OFF, OFF, OFF, OFF
2020-10-26 23:1:54.158231165, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:54.159231165, OFF, OFF, OFF, OFF
2020-10-26 23:1:56.22231167, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:56.84231167, READOUT, OFF, OFF, OFF
2020-10-26 23:1:56.444231167, READOUT, WORK, OFF, OFF
2020-10-26 23:1:56.893231167, OFF, OFF, OFF, OFF
2020-10-26 23:1:57.886231168, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:57.887231168, OFF, OFF, OFF, OFF
2020-10-26 23:1:59.750231170, IMAGING, OFF, OFF, OFF
2020-10-26 23:1:59.811231170, READOUT, OFF, OFF, OFF
2020-10-26 23:2:1.201231171, READOUT, WORK, OFF, OFF
2020-10-26 23:2:1.574231171, IMAGING, WORK, OFF, OFF
2020-10-26 23:2:1.575231171, OFF, OFF, OFF, OFF
2020-10-26 23:2:3.437231173, IMAGING, OFF, OFF, OFF
2020-10-26 23:2:3.499231173, READOUT, OFF, OFF, OFF
2020-10-26 23:2:3.965231173, READOUT, WORK, OFF, OFF
2020-10-26 23:2:4.217231174, OFF, OFF, OFF, OFF
2020-10-26 23:2:5.300231175, IMAGING, OFF, OFF, OFF
