date_time, gnd_id
2020-10-26 21:45:50.511899885, 35140
2020-10-26 21:46:19.710899913, 38140
2020-10-26 22:1:1.900721, 37122
2020-10-26 22:6:11.779901026, 30097
2020-10-26 22:13:16.543901444, 29082
2020-10-26 23:12:4.291904854, 22115
2020-10-26 23:19:59.589905322, 35140
2020-10-26 23:26:52.785905728, 38140
2020-10-26 23:39:36.489906479, 37122
2020-10-26 23:47:53.423906968, 30097
2020-10-27 1:1:1.907683, 35140
2020-10-27 1:3:36.852907836, 38140
2020-10-27 1:20:54.83908857, 37122
2020-10-27 1:24:46.721909085, 34119
2020-10-27 2:44:12.396913712, 38140
