date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 22:29:42.591407458, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:42.623407458, READOUT, OFF, OFF, OFF
2020-10-26 22:29:43.462407459, OFF, WORK, OFF, OFF
2020-10-26 22:29:44.345407460, OFF, OFF, OFF, OFF
2020-10-26 22:29:44.458407460, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:44.459407460, OFF, OFF, OFF, OFF
2020-10-26 22:29:46.325407462, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:46.326407462, OFF, OFF, OFF, OFF
2020-10-26 22:29:48.230407464, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:48.231407464, OFF, OFF, OFF, OFF
2020-10-26 22:29:50.97407466, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:50.98407466, OFF, OFF, OFF, OFF
2020-10-26 22:29:51.964407467, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:52.116407468, READOUT, OFF, OFF, OFF
2020-10-26 22:29:52.737407468, OFF, OFF, OFF, OFF
2020-10-26 22:29:53.831407469, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:53.832407469, OFF, OFF, OFF, OFF
2020-10-26 22:29:55.699407471, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:55.761407471, READOUT, OFF, OFF, OFF
2020-10-26 22:29:55.979407471, READOUT, WORK, OFF, OFF
2020-10-26 22:29:56.508407472, OFF, OFF, OFF, OFF
2020-10-26 22:29:57.567407473, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:57.568407473, OFF, OFF, OFF, OFF
2020-10-26 22:29:59.435407475, IMAGING, OFF, OFF, OFF
2020-10-26 22:29:59.496407475, READOUT, OFF, OFF, OFF
2020-10-26 22:29:59.806407475, READOUT, WORK, OFF, OFF
2020-10-26 22:30:1.263407476, IMAGING, WORK, OFF, OFF
2020-10-26 22:30:1.264407476, OFF, OFF, OFF, OFF
2020-10-26 22:30:3.131407478, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:3.193407478, READOUT, OFF, OFF, OFF
2020-10-26 22:30:3.575407478, READOUT, WORK, OFF, OFF
2020-10-26 22:30:3.839407478, OFF, OFF, OFF, OFF
2020-10-26 22:30:4.999407479, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:5.407480, OFF, OFF, OFF, OFF
2020-10-26 22:30:6.867407481, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:6.928407481, READOUT, OFF, OFF, OFF
2020-10-26 22:30:7.503407482, READOUT, WORK, OFF, OFF
2020-10-26 22:30:7.875407482, OFF, OFF, OFF, OFF
2020-10-26 22:30:8.736407483, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:8.737407483, OFF, OFF, OFF, OFF
2020-10-26 22:30:10.605407485, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:10.667407485, READOUT, OFF, OFF, OFF
2020-10-26 22:30:11.134407486, READOUT, WORK, OFF, OFF
2020-10-26 22:30:11.505407486, OFF, OFF, OFF, OFF
2020-10-26 22:30:12.474407487, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:12.475407487, OFF, OFF, OFF, OFF
2020-10-26 22:30:14.343407489, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:14.404407489, READOUT, OFF, OFF, OFF
2020-10-26 22:30:14.872407489, READOUT, WORK, OFF, OFF
2020-10-26 22:30:15.262407490, OFF, OFF, OFF, OFF
2020-10-26 22:30:16.212407491, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:16.213407491, OFF, OFF, OFF, OFF
2020-10-26 22:30:18.81407493, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:18.143407493, READOUT, OFF, OFF, OFF
2020-10-26 22:30:18.591407493, READOUT, WORK, OFF, OFF
2020-10-26 22:30:18.987407493, OFF, OFF, OFF, OFF
2020-10-26 22:30:19.950407494, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:19.951407494, OFF, OFF, OFF, OFF
2020-10-26 22:30:21.820407496, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:21.881407496, READOUT, OFF, OFF, OFF
2020-10-26 22:30:22.324407497, READOUT, WORK, OFF, OFF
2020-10-26 22:30:22.726407497, OFF, OFF, OFF, OFF
2020-10-26 22:30:23.690407498, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:23.691407498, OFF, OFF, OFF, OFF
2020-10-26 22:30:25.560407500, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:25.622407500, READOUT, OFF, OFF, OFF
2020-10-26 22:30:26.59407501, READOUT, WORK, OFF, OFF
2020-10-26 22:30:26.464407501, OFF, OFF, OFF, OFF
2020-10-26 22:30:27.430407502, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:27.431407502, OFF, OFF, OFF, OFF
2020-10-26 22:30:29.300407504, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:29.361407504, READOUT, OFF, OFF, OFF
2020-10-26 22:30:29.795407504, READOUT, WORK, OFF, OFF
2020-10-26 22:30:30.202407505, OFF, OFF, OFF, OFF
2020-10-26 22:30:31.170407506, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:31.171407506, OFF, OFF, OFF, OFF
2020-10-26 22:30:33.41407508, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:33.103407508, READOUT, OFF, OFF, OFF
2020-10-26 22:30:33.535407508, READOUT, WORK, OFF, OFF
2020-10-26 22:30:33.942407508, OFF, OFF, OFF, OFF
2020-10-26 22:30:34.912407509, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:34.913407509, OFF, OFF, OFF, OFF
2020-10-26 22:30:36.783407511, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:36.844407511, READOUT, OFF, OFF, OFF
2020-10-26 22:30:37.276407512, READOUT, WORK, OFF, OFF
2020-10-26 22:30:37.685407512, OFF, OFF, OFF, OFF
2020-10-26 22:30:38.654407513, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:38.655407513, OFF, OFF, OFF, OFF
2020-10-26 22:30:40.525407515, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:40.587407515, READOUT, OFF, OFF, OFF
2020-10-26 22:30:41.17407516, READOUT, WORK, OFF, OFF
2020-10-26 22:30:41.426407516, OFF, OFF, OFF, OFF
2020-10-26 22:30:42.396407517, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:42.397407517, OFF, OFF, OFF, OFF
2020-10-26 22:30:44.267407519, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:44.328407519, READOUT, OFF, OFF, OFF
2020-10-26 22:30:44.757407519, READOUT, WORK, OFF, OFF
2020-10-26 22:30:45.167407520, OFF, OFF, OFF, OFF
2020-10-26 22:30:46.139407521, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:46.140407521, OFF, OFF, OFF, OFF
2020-10-26 22:30:48.49407523, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:48.111407523, READOUT, OFF, OFF, OFF
2020-10-26 22:30:48.540407523, READOUT, WORK, OFF, OFF
2020-10-26 22:30:48.956407523, OFF, OFF, OFF, OFF
2020-10-26 22:30:49.921407524, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:49.922407524, OFF, OFF, OFF, OFF
2020-10-26 22:30:51.793407526, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:51.854407526, READOUT, OFF, OFF, OFF
2020-10-26 22:30:52.277407527, READOUT, WORK, OFF, OFF
2020-10-26 22:30:52.690407527, OFF, OFF, OFF, OFF
2020-10-26 22:30:53.665407528, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:53.666407528, OFF, OFF, OFF, OFF
2020-10-26 22:30:55.537407530, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:55.599407530, READOUT, OFF, OFF, OFF
2020-10-26 22:30:56.25407531, READOUT, WORK, OFF, OFF
2020-10-26 22:30:56.437407531, OFF, OFF, OFF, OFF
2020-10-26 22:30:57.409407532, IMAGING, OFF, OFF, OFF
2020-10-26 22:30:57.410407532, OFF, OFF, OFF, OFF
2020-10-26 22:30:59.282407534, IMAGING, OFF, OFF, OFF
