date_time, gnd_id
2020-10-26 21:40:44.700444132, 35140
2020-10-26 21:46:57.340444499, 38140
2020-10-26 22:1:4.543445272, 37122
2020-10-26 22:6:53.677445616, 30097
2020-10-26 22:13:45.830446021, 29082
2020-10-26 23:12:17.278449415, 22115
2020-10-26 23:20:23.733449893, 35140
2020-10-26 23:27:9.284450292, 38140
2020-10-26 23:39:55.526451046, 37122
2020-10-26 23:48:13.637451535, 30097
2020-10-27 1:1:1.452231, 35140
2020-10-27 1:3:50.250452398, 38140
2020-10-27 1:4:59.110452466, 38140
2020-10-27 1:22:7.83453476, 37122
