date_time, altidute_km, x_km, y_km, z_km
2020-10-26 22:33:41.720635419, 561.6041209751943, 5197.544831859397, -2352.2827722357974, -3939.0657940211026
2020-10-26 22:33:43.606635421, 561.6383834710605, 5196.800834600489, -2340.4535425018967, -3947.0961592681524
2020-10-26 22:33:45.492635423, 561.6726221590011, 5196.034676822246, -2328.614298505171, -3955.1096720666255
2020-10-26 22:33:47.418635425, 561.7075619697957, 5195.229402636417, -2316.5136745452137, -3963.275714734036
2020-10-26 22:33:49.305635427, 561.7417692728534, 5194.418028244659, -2304.64805341069, -3971.25928700436
2020-10-26 22:33:51.192635429, 561.7759513705719, 5193.584480203541, -2292.772560530335, -3979.2258855221435
2020-10-26 22:33:53.79635431, 561.8101078089253, 5192.728762139619, -2280.8872466950033, -3987.175476187904
2020-10-26 22:33:54.966635432, 561.844238134064, 5191.850877774858, -2268.992162743548, -3995.1080249712745
2020-10-26 22:33:56.853635434, 561.8783418923649, 5190.950830924745, -2257.0873595375588, -4003.023497927799
2020-10-26 22:33:58.740635436, 561.9124186303413, 5190.028625501036, -2245.172887998767, -4010.9218611740084
2020-10-26 22:34:1.635438, 561.9531950620803, 5188.894973423958, -2230.8906512280696, -4020.358915652902
2020-10-26 22:34:2.888635439, 561.9872288448059, 5187.923564630947, -2218.9487833464777, -4028.2237198691614
2020-10-26 22:34:4.776635441, 562.0212341281026, 5186.9299869320075, -2206.9974001614273, -4036.071288268383
2020-10-26 22:34:6.664635443, 562.0552104586377, 5185.914244644003, -2195.036552847121, -4043.9015872239665
2020-10-26 22:34:8.552635445, 562.0891573833096, 5184.876342178268, -2183.0662926117134, -4051.7145831879066
2020-10-26 22:34:10.440635447, 562.1230744492614, 5183.816284041109, -2171.086670703399, -4059.510242686774
2020-10-26 22:34:12.328635449, 562.1569612038727, 5182.734074833773, -2159.0977384102353, -4067.2885323218334
2020-10-26 22:34:14.217635451, 562.1908351187351, 5181.629128451027, -2147.0931896413085, -4075.053524791021
2020-10-26 22:34:16.106635453, 562.2246777844484, 5180.502017026633, -2135.0794234529662, -4082.8010623303576
2020-10-26 22:34:17.995635454, 562.2584887484218, 5179.352745454983, -2123.0564913395, -4090.531111709354
2020-10-26 22:34:19.884635456, 562.2922675583834, 5178.181318723696, -2111.024444815201, -4098.243639785178
2020-10-26 22:34:21.773635458, 562.3260137622881, 5176.987741917225, -2098.9833354521547, -4105.938613478355
2020-10-26 22:34:23.662635460, 562.3597269083941, 5175.772020214432, -2086.93321485475, -4113.615999789176
2020-10-26 22:34:25.552635462, 562.3934243656427, 5174.53349772704, -2074.867748458619, -4121.279816053334
2020-10-26 22:34:27.442635464, 562.4270878262769, 5173.272817547724, -2062.7933647452483, -4128.925960450638
2020-10-26 22:34:29.332635466, 562.4607168387411, 5171.989985148943, -2050.7101155155447, -4136.554400157408
2020-10-26 22:34:31.222635468, 562.4943109517774, 5170.685006098252, -2038.6180526082646, -4144.165102426336
2020-10-26 22:34:33.112635470, 562.5278697144561, 5169.357886058279, -2026.5172278996488, -4151.75803458672
2020-10-26 22:34:35.2635472, 562.5613926761787, 5168.008630786695, -2014.4076933032472, -4159.333164044585
2020-10-26 22:34:36.892635473, 562.5948793866571, 5166.637246136916, -2002.2895007761583, -4166.890458278773
2020-10-26 22:34:38.783635475, 562.6283470846222, 5165.2429948945, -1990.1562837288673, -4174.433869236603
2020-10-26 22:34:40.674635477, 562.6617775922969, 5163.826602855855, -1978.0145037295717, -4181.959361207613
2020-10-26 22:34:42.565635479, 562.6951704597534, 5162.388076168359, -1965.8642129215186, -4189.466901854855
2020-10-26 22:34:44.456635481, 562.7285252374156, 5160.927421074484, -1953.7054634842975, -4196.9564589188885
2020-10-26 22:34:46.347635483, 562.7618414760914, 5159.44464391178, -1941.538307633453, -4204.428000218029
2020-10-26 22:34:48.278635485, 562.7958222106236, 5157.907679567998, -1929.1051612913934, -4212.038960969018
2020-10-26 22:34:50.170635487, 562.8290767521044, 5156.379396456084, -1916.9147290283781, -4219.477918727971
2020-10-26 22:34:52.62635489, 562.8622913573972, 5154.828987620208, -1904.7160396211464, -4226.898744791026
2020-10-26 22:34:53.954635490, 562.895465578132, 5153.256459791463, -1892.5091455174927, -4234.301407235865
2020-10-26 22:34:55.846635492, 562.9285989664186, 5151.661819793577, -1880.2940991808941, -4241.68587423043
2020-10-26 22:34:57.738635494, 562.9616910747097, 5150.045074547813, -1868.0709531288005, -4249.05211400967
2020-10-26 22:34:59.630635496, 562.9947414559244, 5148.406231069693, -1855.839759906876, -4256.4000948912
2020-10-26 22:35:1.482635497, 563.0270522548587, 5146.780639902306, -1843.8594110782478, -4263.575012999584
2020-10-26 22:35:3.375635499, 563.0600361608126, 5145.097193065292, -1831.6059735367055, -4270.890628752671
2020-10-26 22:35:5.268635501, 563.0929769646625, 5143.391646117813, -1819.3446372383364, -4278.187872277067
2020-10-26 22:35:7.161635503, 563.1258742203488, 5141.6640064650155, -1807.0754549474668, -4285.466712155636
2020-10-26 22:35:9.54635505, 563.1587274822873, 5139.914281607133, -1794.7984794618148, -4292.727117050933
2020-10-26 22:35:10.947635506, 563.1915363053281, 5138.142479140375, -1782.5137636188545, -4299.969055701449
2020-10-26 22:35:12.840635508, 563.2243002448515, 5136.348606753151, -1770.221360269617, -4307.192496937054
2020-10-26 22:35:14.733635510, 563.2570188566704, 5134.532672231641, -1757.9213223173151, -4314.397409656214
2020-10-26 22:35:16.627635512, 563.2897089447488, 5132.6937066894725, -1745.6071990489174, -4321.587554208675
2020-10-26 22:35:18.521635514, 563.3223527691646, 5130.83267157395, -1733.285539140034, -4328.759088627115
