date_time, gnd_id
2020-10-26 21:41:51.401671924, 35140
2020-10-26 21:46:39.200672207, 38140
2020-10-26 22:1:1.672995, 37122
2020-10-26 22:6:30.589673319, 30097
2020-10-26 22:13:31.472673733, 29082
2020-10-26 23:12:11.32677135, 22115
2020-10-26 23:20:11.935677607, 35140
2020-10-26 23:27:1.125678010, 38140
2020-10-26 23:39:45.913678762, 37122
2020-10-26 23:48:3.736679251, 30097
2020-10-27 1:1:1.679957, 35140
2020-10-27 1:3:43.639680117, 38140
2020-10-27 1:21:25.121681161, 37122
2020-10-27 1:24:30.517681343, 34119
