date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 22:25:43.464179497, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:43.496179497, READOUT, OFF, OFF, OFF
2020-10-26 22:25:44.335179498, OFF, WORK, OFF, OFF
2020-10-26 22:25:45.219179499, OFF, OFF, OFF, OFF
2020-10-26 22:25:45.314179499, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:45.315179499, OFF, OFF, OFF, OFF
2020-10-26 22:25:47.164179501, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:47.165179501, OFF, OFF, OFF, OFF
2020-10-26 22:25:49.52179503, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:49.53179503, OFF, OFF, OFF, OFF
2020-10-26 22:25:50.903179504, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:50.904179504, OFF, OFF, OFF, OFF
2020-10-26 22:25:52.754179506, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:52.906179506, READOUT, OFF, OFF, OFF
2020-10-26 22:25:53.485179507, OFF, OFF, OFF, OFF
2020-10-26 22:25:54.605179508, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:54.606179508, OFF, OFF, OFF, OFF
2020-10-26 22:25:56.456179510, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:56.518179510, READOUT, OFF, OFF, OFF
2020-10-26 22:25:56.778179510, READOUT, WORK, OFF, OFF
2020-10-26 22:25:57.288179511, OFF, OFF, OFF, OFF
2020-10-26 22:25:58.307179512, IMAGING, OFF, OFF, OFF
2020-10-26 22:25:58.308179512, OFF, OFF, OFF, OFF
2020-10-26 22:26:1.179514, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:1.61179514, READOUT, OFF, OFF, OFF
2020-10-26 22:26:1.390179514, READOUT, WORK, OFF, OFF
2020-10-26 22:26:1.830179514, OFF, OFF, OFF, OFF
2020-10-26 22:26:2.851179515, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:2.852179515, OFF, OFF, OFF, OFF
2020-10-26 22:26:4.702179517, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:4.764179517, READOUT, OFF, OFF, OFF
2020-10-26 22:26:5.163179518, READOUT, WORK, OFF, OFF
2020-10-26 22:26:5.592179518, OFF, OFF, OFF, OFF
2020-10-26 22:26:6.554179519, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:6.555179519, OFF, OFF, OFF, OFF
2020-10-26 22:26:8.406179521, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:8.467179521, READOUT, OFF, OFF, OFF
2020-10-26 22:26:8.877179521, READOUT, WORK, OFF, OFF
2020-10-26 22:26:9.293179522, OFF, OFF, OFF, OFF
2020-10-26 22:26:10.258179523, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:10.259179523, OFF, OFF, OFF, OFF
2020-10-26 22:26:12.110179525, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:12.172179525, READOUT, OFF, OFF, OFF
2020-10-26 22:26:12.595179525, READOUT, WORK, OFF, OFF
2020-10-26 22:26:13.3179526, OFF, OFF, OFF, OFF
2020-10-26 22:26:13.962179526, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:13.963179526, OFF, OFF, OFF, OFF
2020-10-26 22:26:15.814179528, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:15.875179528, READOUT, OFF, OFF, OFF
2020-10-26 22:26:16.306179529, READOUT, WORK, OFF, OFF
2020-10-26 22:26:16.711179529, OFF, OFF, OFF, OFF
2020-10-26 22:26:17.666179530, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:17.667179530, OFF, OFF, OFF, OFF
2020-10-26 22:26:19.518179532, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:19.580179532, READOUT, OFF, OFF, OFF
2020-10-26 22:26:20.13179533, READOUT, WORK, OFF, OFF
2020-10-26 22:26:20.414179533, OFF, OFF, OFF, OFF
2020-10-26 22:26:21.370179534, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:21.371179534, OFF, OFF, OFF, OFF
2020-10-26 22:26:23.223179536, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:23.284179536, READOUT, OFF, OFF, OFF
2020-10-26 22:26:23.722179536, READOUT, WORK, OFF, OFF
2020-10-26 22:26:24.123179537, OFF, OFF, OFF, OFF
2020-10-26 22:26:25.76179538, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:25.77179538, OFF, OFF, OFF, OFF
2020-10-26 22:26:26.929179539, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:26.991179539, READOUT, OFF, OFF, OFF
2020-10-26 22:26:27.429179540, READOUT, WORK, OFF, OFF
2020-10-26 22:26:27.828179540, OFF, OFF, OFF, OFF
2020-10-26 22:26:28.782179541, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:28.783179541, OFF, OFF, OFF, OFF
2020-10-26 22:26:30.635179543, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:30.696179543, READOUT, OFF, OFF, OFF
2020-10-26 22:26:31.136179544, READOUT, WORK, OFF, OFF
2020-10-26 22:26:31.535179544, OFF, OFF, OFF, OFF
2020-10-26 22:26:32.488179545, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:32.489179545, OFF, OFF, OFF, OFF
2020-10-26 22:26:34.341179547, IMAGING, OFF, OFF, OFF
2020-10-26 22:26:34.403179547, READOUT, OFF, OFF, OFF
2020-10-26 22:26:34.843179547, READOUT, WORK, OFF, OFF
2020-10-26 22:26:35.241179548, OFF, OFF, OFF, OFF
