date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 22:21:44.343951536, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:44.375951536, READOUT, OFF, OFF, OFF
2020-10-26 22:21:45.214951537, OFF, WORK, OFF, OFF
2020-10-26 22:21:46.98951538, OFF, OFF, OFF, OFF
2020-10-26 22:21:46.183951538, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:46.184951538, OFF, OFF, OFF, OFF
2020-10-26 22:21:48.23951540, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:48.24951540, OFF, OFF, OFF, OFF
2020-10-26 22:21:49.900951541, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:49.901951541, OFF, OFF, OFF, OFF
2020-10-26 22:21:51.740951543, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:51.741951543, OFF, OFF, OFF, OFF
2020-10-26 22:21:53.580951545, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:53.732951545, READOUT, OFF, OFF, OFF
2020-10-26 22:21:54.284951546, OFF, OFF, OFF, OFF
2020-10-26 22:21:55.420951547, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:55.421951547, OFF, OFF, OFF, OFF
2020-10-26 22:21:57.260951549, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:57.322951549, READOUT, OFF, OFF, OFF
2020-10-26 22:21:57.609951549, READOUT, WORK, OFF, OFF
2020-10-26 22:21:58.107951550, OFF, OFF, OFF, OFF
2020-10-26 22:21:59.100951551, IMAGING, OFF, OFF, OFF
2020-10-26 22:21:59.101951551, OFF, OFF, OFF, OFF
2020-10-26 22:22:1.951552, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:1.61951552, READOUT, OFF, OFF, OFF
2020-10-26 22:22:1.402951552, READOUT, WORK, OFF, OFF
2020-10-26 22:22:1.671951552, OFF, OFF, OFF, OFF
2020-10-26 22:22:2.841951553, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:2.842951553, OFF, OFF, OFF, OFF
2020-10-26 22:22:4.682951555, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:4.744951555, READOUT, OFF, OFF, OFF
2020-10-26 22:22:5.314951556, READOUT, WORK, OFF, OFF
2020-10-26 22:22:5.684951556, OFF, OFF, OFF, OFF
2020-10-26 22:22:6.523951557, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:6.524951557, OFF, OFF, OFF, OFF
2020-10-26 22:22:8.364951559, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:8.425951559, READOUT, OFF, OFF, OFF
2020-10-26 22:22:8.894951559, READOUT, WORK, OFF, OFF
2020-10-26 22:22:9.256951560, OFF, OFF, OFF, OFF
2020-10-26 22:22:10.205951561, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:10.206951561, OFF, OFF, OFF, OFF
2020-10-26 22:22:12.46951563, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:12.108951563, READOUT, OFF, OFF, OFF
2020-10-26 22:22:12.585951563, READOUT, WORK, OFF, OFF
2020-10-26 22:22:12.961951563, OFF, OFF, OFF, OFF
2020-10-26 22:22:13.887951564, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:13.888951564, OFF, OFF, OFF, OFF
2020-10-26 22:22:15.728951566, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:15.789951566, READOUT, OFF, OFF, OFF
2020-10-26 22:22:16.252951567, READOUT, WORK, OFF, OFF
2020-10-26 22:22:16.633951567, OFF, OFF, OFF, OFF
2020-10-26 22:22:17.569951568, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:17.570951568, OFF, OFF, OFF, OFF
2020-10-26 22:22:19.410951570, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:19.472951570, READOUT, OFF, OFF, OFF
2020-10-26 22:22:19.929951570, READOUT, WORK, OFF, OFF
2020-10-26 22:22:20.314951571, OFF, OFF, OFF, OFF
2020-10-26 22:22:21.251951572, IMAGING, OFF, OFF, OFF
2020-10-26 22:22:21.252951572, OFF, OFF, OFF, OFF
