date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 22:17:45.231723575, IMAGING, OFF, OFF, OFF
2020-10-26 22:17:45.263723575, READOUT, OFF, OFF, OFF
2020-10-26 22:17:46.102723576, OFF, WORK, OFF, OFF
2020-10-26 22:17:46.147723576, OFF, OFF, OFF, OFF
2020-10-26 22:17:47.69723577, IMAGING, OFF, OFF, OFF
2020-10-26 22:17:47.100723577, READOUT, OFF, OFF, OFF
2020-10-26 22:17:47.939723577, OFF, WORK, OFF, OFF
2020-10-26 22:17:47.984723577, OFF, OFF, OFF, OFF
2020-10-26 22:17:48.907723578, IMAGING, OFF, OFF, OFF
2020-10-26 22:17:48.938723578, READOUT, OFF, OFF, OFF
2020-10-26 22:17:49.777723579, OFF, WORK, OFF, OFF
2020-10-26 22:17:49.822723579, OFF, OFF, OFF, OFF
2020-10-26 22:17:50.782723580, IMAGING, OFF, OFF, OFF
2020-10-26 22:17:50.814723580, READOUT, OFF, OFF, OFF
2020-10-26 22:17:51.653723581, OFF, WORK, OFF, OFF
2020-10-26 22:17:51.698723581, OFF, OFF, OFF, OFF
2020-10-26 22:17:52.620723582, IMAGING, OFF, OFF, OFF
2020-10-26 22:17:52.651723582, READOUT, OFF, OFF, OFF
2020-10-26 22:17:53.490723583, OFF, WORK, OFF, OFF
2020-10-26 22:17:53.535723583, OFF, OFF, OFF, OFF
2020-10-26 22:17:54.458723584, IMAGING, OFF, OFF, OFF
2020-10-26 22:17:54.489723584, READOUT, OFF, OFF, OFF
2020-10-26 22:17:55.328723585, OFF, WORK, OFF, OFF
2020-10-26 22:17:55.373723585, OFF, OFF, OFF, OFF
2020-10-26 22:17:56.296723586, IMAGING, OFF, OFF, OFF
2020-10-26 22:17:56.327723586, READOUT, OFF, OFF, OFF
2020-10-26 22:17:57.166723587, OFF, WORK, OFF, OFF
2020-10-26 22:17:57.211723587, OFF, OFF, OFF, OFF
2020-10-26 22:17:58.134723588, IMAGING, OFF, OFF, OFF
2020-10-26 22:17:58.166723588, READOUT, OFF, OFF, OFF
2020-10-26 22:17:59.4723589, OFF, WORK, OFF, OFF
2020-10-26 22:17:59.48723589, OFF, OFF, OFF, OFF
2020-10-26 22:17:59.972723589, IMAGING, OFF, OFF, OFF
2020-10-26 22:18:1.3723590, READOUT, OFF, OFF, OFF
2020-10-26 22:18:1.770723590, IMAGING, OFF, OFF, OFF
2020-10-26 22:18:1.801723590, READOUT, OFF, OFF, OFF
2020-10-26 22:18:1.873723590, READOUT, WORK, OFF, OFF
2020-10-26 22:18:1.918723590, READOUT, OFF, OFF, OFF
2020-10-26 22:18:2.712723591, OFF, WORK, OFF, OFF
2020-10-26 22:18:2.757723591, OFF, OFF, OFF, OFF
